.

| rank | ativo | ticker / empresa | DY esperado | entrada (R$) | preço atual (R$) | preço-teto (R$) | alocação | rentabilidade | viés |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |

| 1  0 |  |  | 8,8% | 7,56  06.02.2017 | 9,26  1,20% | 10,00 | 10,0% | 22,49% | Comprar |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2  0 |  |  | 11,5% | 14,28  30.03.2017 | 34,30  0,09% | 35,50 | 10,0% | 140,20% | Comprar |
| 3  0 |  |  | 4,7% | 10,99  28.01.2021 | 22,70  \-1,30% | 25,00 | 10,0% | 106,55% | Comprar |
| 4  0 |  | UNIP6  [  Unipar  ](https://investidor.suno.com.br/acoes/UNIP6)  Ver relatórios | 10,0% | 1,46  06.02.2017 | 60,53  \-0,56% | 70,00 | 10,0% | 4045,89% | Comprar |
| 5  0 |  |  | 7,6% | 11,79  28.01.2026 | 12,30  \-0,57% | 14,00 | 5,0% | 4,33% | Comprar |
| 6  0 |  |  | 6,0% | 18,01  19.03.2026 | 17,37  \-0,91% | 20,40 | 5,0% | \-3,55% | Comprar |
| 7  1 |  | VALE3  [  Vale  ](https://investidor.suno.com.br/acoes/VALE3)  Ver relatórios | 5,4% | 62,04  21.01.2022 | 85,82  \-0,17% | 78,00 | 5,0% | 38,33% | Aguardar |
| 8  1 |  | PETR4  [  Petrobras  ](https://investidor.suno.com.br/acoes/PETR4)  Ver relatórios | 6,4% | 8,24  16.01.2020 | 47,15  \-1,30% | 38,00 | 7,5% | 472,21% | Aguardar |
| 9  1 |  |  | 6,3% | 28,70  10.09.2021 | 68,84  \-0,95% | 43,80 | 5,0% | 139,86% | Aguardar |
| 10  1 |  | TUPY3  [  Tupy  ](https://investidor.suno.com.br/acoes/TUPY3)  Ver relatórios | 1,6% | 13,39  08.02.2018 | 14,39  \-5,39% | 21,00 | 7,5% | 7,47% | Comprar |
| 11  1 |  | AGRO3  [  BrasilAgro  ](https://investidor.suno.com.br/acoes/AGRO3)  Ver relatórios | 5,3% | 18,99  24.06.2022 | 19,70  0,10% | 27,50 | 2,5% | 3,74% | Comprar |
| 12  1 |  |  | 6,7% | 23,21  12.03.2020 | 36,67  \-0,73% | 28,60 | 7,5% | 57,99% | Aguardar |
| 13  1 |  | ITSA4  [  Itausa  ](https://investidor.suno.com.br/acoes/ITSA4)  Ver relatórios | 6,1% | 6,19  27.01.2023 | 14,21  0,35% | 11,50 | 5,0% | 129,56% | Aguardar |
|  |  |  |  |  |  |  | 10,0% |  |  |
