ás e Biocombustíveis | 33,24  \-0,03% | Abaixo de 18,00 |
|  | TAEE11  [  Taesa  ](https://investidor.suno.com.br/acoes/TAEE11)  Ver relatórios | Utilidade Pública | 44,12  \-1,21% | Abaixo de 30,00 |

| ativo | ticker / empresa | início | entrada (R$) | encerramento | preço de saída (R$) | retorno |
| --- | --- | --- | --- | --- | --- | --- |
|  | B3SA3  [  B3  ](https://investidor.suno.com.br/acoes/B3SA3) | 09.09.2022 | 11,96 | 11.08.2025 | 12,85 | 7,44% |
|  | CPLE6  [  Copel  ](https://investidor.suno.com.br/acoes/CPLE6) | 18.06.2021 | 4,90 | 26.07.2024 | 10,02 | 104,49% |
|  | ALUP11  [  Alupar  ](https://investidor.suno.com.br/acoes/ALUP11) | 29.04.2022 | 24,19 | 16.01.2024 | 30,43 | 25,80% |
|  | LEVE3  [  Mahle Metal Leve SA  ](https://investidor.suno.com.br/acoes/LEVE3) | 27.05.2022 | 21,68 | 25.08.2023 | 46,47 | 114,35% |
|  | ENBR3  [  EDP Brasil  ](https://investidor.suno.com.br/acoes/ENBR3) | 06.02.2017 | 10,01 | 12.07.2023 | 23,73 | 137,06% |
|  | VIVT3  [  Telefônica Brasil  ](https://investidor.suno.com.br/acoes/VIVT3) | 30.08.2018 | 25,02 | 16.06.2023 | 44,16 | 76,50% |
|  | MRVE3  [  MRV Engenharia  ](https://investidor.suno.com.br/acoes/MRVE3) | 17.09.2021 | 13,27 | 24.03.2023 | 6,99 | \-47,32% |
|  | GRND3  [  Grendene  ](https://investidor.suno.com.br/acoes/GRND3) | 31.05.2018 | 6,59 | 26.11.2022 | 6,40 | \-2,88% |
|  | CCRO3  [  CCR  ](https://investidor.suno.com.br/acoes/CCRO3) | 19.09.2022 | 12,06 | 19.09.2022 | 13,75 | 14,01% |
|  | ITSA4  [  Itausa  ](https://investidor.suno.com.br/acoes/ITSA4) | 18.05.2017 | 5,42 | 31.05.2022 | 9,60 | 77,12% |
|  | TAEE11  [  Taesa  ](https://investidor.suno.com.br/acoes/TAEE11) | 06.02.2017 | 13,30 | 29.04.2022 | 44,66 | 235,79% |
|  | ODPV3  [  Odontoprev  ](https://investidor.suno.com.br/acoes/ODPV3) | 20.08.2020 | 12,62 | 18.03.2022 | 11,85 | \-6,10% |
|  | ABCB4  [  Banco ABC Brasil  ](https://investidor.suno.com.br/acoes/ABCB4) | 09.11.2017 | 12,76 | 18.02.2022 | 16,69 | 30,80% |
|  | ELET3  [  Eletrobras  ](https://investidor.suno.com.br/acoes/ELET3) | 18.12.2020 | 36,83 | 10.09.2021 | 37,26 | 1,17% |
|  | LEVE3  [  Mahle Metal Leve SA  ](https://investidor.suno.com.br/acoes/LEVE3) | 18.04.2019 | 20,24 | 11.06.2021 | 36,13 | 78,51% |
|  | TIET11  [  AES Tietê  ](https://investidor.suno.com.br/acoes/TIET11) | 18.05.2017 | 10,43 | 03.05.2020 | 18,57 | 78,04% |
|  | MPLU3  [  Multiplus On  ](https://investidor.suno.com.br/acoes/MPLU3) | 06.02.2017 | 30,67 | 01.04.2019 | 26,84 | \-12,49% |
|  |  | 17.01.2019 | 64,97 | 24.01.2019 | 79,20 | 21,90% |
|  |  | 07.08.2017 | 26,98 | 19.07.2018 | 53,67 | 98,93% |
|  | EZTC3  [  Eztec  ](https://investidor.suno.com.br/acoes/EZTC3) | 06.01.2017 | 17,82 | 20.09.2017 | 23,20 | 30,19% |
