7 | 17,82 | 20.09.2017 | 23,20 | 30,19% |

|rank|ativo|ticker / empresa|DY esperado|entrada (R$)|preço atual (R$)|preço-teto (R$)|alocação|rentabilidade|viés|
|---|---|---|---|---|---|---|---|---|---|

|             |                                                                                                  |                                                                                                                       |       |                         |                     |       |       |          |          |
| ----------- | ------------------------------------------------------------------------------------------------ | --------------------------------------------------------------------------------------------------------------------- | ----- | ----------------------- | ------------------- | ----- | ----- | -------- | -------- |
|             |                                                                                                  |                                                                                                                       |       |                         |                     |       |       |          |          |
| 1<br><br>0  |                   | WIZC3<br><br>[<br><br>WIZ Co<br><br>](https://investidor.suno.com.br/acoes/WIZC3)<br><br>Ver relatórios               | 8,8%  | 7,56<br><br>06.02.2017  | 9,26<br><br>1,20%   | 10,00 | 10,0% | 22,49%   | Comprar  |
| 2<br><br>0  |  | BBSE3<br><br>[<br><br>BB Seguridade<br><br>](https://investidor.suno.com.br/acoes/BBSE3)<br><br>Ver relatórios        | 11,5% | 14,28<br><br>30.03.2017 | 34,30<br><br>0,09%  | 35,50 | 10,0% | 140,20%  | Comprar  |
| 3<br><br>0  |  | BBAS3<br><br>[<br><br>Banco do Brasil<br><br>](https://investidor.suno.com.br/acoes/BBAS3)<br><br>Ver relatórios      | 4,7%  | 10,99<br><br>28.01.2021 | 22,70<br><br>-1,30% | 25,00 | 10,0% | 106,55%  | Comprar  |
| 4<br><br>0  |  | UNIP6<br><br>[<br><br>Unipar<br><br>](https://investidor.suno.com.br/acoes/UNIP6)<br><br>Ver relatórios               | 10,0% | 1,46<br><br>06.02.2017  | 60,53<br><br>-0,56% | 70,00 | 10,0% | 4045,89% | Comprar  |
| 5<br><br>0  |  | SEER3<br><br>[<br><br>Ser Educacional<br><br>](https://investidor.suno.com.br/acoes/SEER3)<br><br>Ver relatórios      | 7,6%  | 11,79<br><br>28.01.2026 | 12,30<br><br>-0,57% | 14,00 | 5,0%  | 4,33%    | Comprar  |
| 6<br><br>0  |                   | SLCE3<br><br>[<br><br>SLC AGRICOLA<br><br>](https://investidor.suno.com.br/acoes/SLCE3)<br><br>Ver relatórios         | 6,0%  | 18,01<br><br>19.03.2026 | 17,37<br><br>-0,91% | 20,40 | 5,0%  | -3,55%   | Comprar  |
| 7<br><br>1  |  | VALE3<br><br>[<br><br>Vale<br><br>](https://investidor.suno.com.br/acoes/VALE3)<br><br>Ver relatórios                 | 5,4%  | 62,04<br><br>21.01.2022 | 85,82<br><br>-0,17% | 78,00 | 5,0%  | 38,33%   | Aguardar |
| 8<br><br>1  |  | PETR4<br><br>[<br><br>](https://investidor.suno.com.br/acoes/PETR4)<br><br>Ver relatórios                             | 6,4%  | 8,24<br><br>16.01.2020  | 47,15<br><br>-1,30% | 38,00 | 7,5%  | 472,21%  | Aguardar |
| 9<br><br>1  |                   | AXIA6<br><br>[<br><br>Axia Energia<br><br>](https://investidor.suno.com.br/acoes/AXIA6)<br><br>Ver relatórios         | 6,3%  | 28,70<br><br>10.09.2021 | 68,84<br><br>-0,95% | 43,80 | 5,0%  | 139,86%  | Aguardar |
| 10<br><br>1 |  | TUPY3<br><br>[<br><br>Tupy<br><br>](https://investidor.suno.com.br/acoes/TUPY3)<br><br>Ver relatórios                 | 1,6%  | 13,39<br><br>08.02.2018 | 14,39<br><br>-5,39% | 21,00 | 7,5%  | 7,47%    | Comprar  |
| 11<br><br>1 |  | AGRO3<br><br>[<br><br>BrasilAgro<br><br>](https://investidor.suno.com.br/acoes/AGRO3)<br><br>Ver relatórios           | 5,3%  | 18,99<br><br>24.06.2022 | 19,70<br><br>0,10%  | 27,50 | 2,5%  | 3,74%    | Comprar  |
| 12<br><br>1 |  | EGIE3<br><br>[<br><br>Engie Brasil<br><br>](https://investidor.suno.com.br/acoes/EGIE3)<br><br>Ver relatórios         | 6,7%  | 23,21<br><br>12.03.2020 | 36,67<br><br>-0,73% | 28,60 | 7,5%  | 57,99%   | Aguardar |
| 13<br><br>1 |  | ITSA4<br><br>[<br><br>Itausa<br><br>](https://investidor.suno.com.br/acoes/ITSA4)<br><br>Ver relatórios               | 6,1%  | 6,19<br><br>27.01.2023  | 14,21<br><br>0,35%  | 11,50 | 5,0%  | 129,56%  | Aguardar |
|             |                                                                                                  | renda_fixa<br><br>[<br><br>Renda Fixa<br><br>](https://investidor.suno.com.br/acoes/renda_fixa)<br><br>Ver relatórios |       |                         |                     |       | 10,0% |          |          |
